domain,tranco_rank,category,theme,ip,server_header,primary_contact_email,all_emails,phones,socials,addresses,pages_checked,fetched_at
solardistrict.co.zw,,business,,169.239.218.62,LiteSpeed,hello@solardistrict.co.zw,hello@solardistrict.co.zw,+263 78 695 4262,https://www.instagram.com/solardistrictzw; https://twitter.com/solardistrictzw; https://www.facebook.com/solardistrictafrica; https://twitter.com/solardistrictafrica; https://www.instagram.com/solardistrictafrica,,"/,/about/,/contact-solar-district/",2026-05-04T21:08:46.308202+00:00
stgeorges.co.zw,,education,,92.205.14.160,Apache,marketing@stgeorges.co.zw,marketing@stgeorges.co.zw; applications@stgeorges.co.zw,+263 8677 020 314; +263 8677 020 319; +263 8677 021 516,https://www.facebook.com/stgeorgescollegezw; https://www.instagram.com/stgeorgeszimbabwe/,,"/,/about-development-office/,/about/,/about-us/,/contact-us/",2026-05-04T21:08:46.308354+00:00
rongamari.co.zw,,business,,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.308412+00:00
smartserve.co.zw,,business,,87.117.234.111,Apache,info@smartserve.co.zw,%69nfo@smartser%76e%2Eco.zw; info@smartserve.co.zw; info%40s%6Dartser%76e.%63o.zw,+263 77 356 3821,,,"/,/about/,/contact",2026-05-04T21:08:46.308544+00:00
stonezimtravel.co.zw,,business,,199.250.208.19,Apache,,,,,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.308624+00:00
termitecontrol.co.zw,,business,,172.67.158.82,cloudflare,,,,,,,2026-05-04T21:08:46.308632+00:00
selfcare.zimnat.co.zw,,business,,196.43.101.198,Apache,customercare@zimnat.co.zw,customercare@zimnat.co.zw,,https://www.facebook.com/Zimnat; https://twitter.com/zimnatofficial; https://zw.linkedin.com/company/zimnat,,"/,/about/,/index.php/contact/",2026-05-04T21:08:46.308713+00:00
thinkit.co.zw,,business,,148.251.13.105,Apache,info@thinkit.co.zw,%69nf%6F%40th%69nk%69t.%63o.zw; info@thinkit.co.zw; %69%6E%66o@think%69%74.co.z%77,+263 772 390 891,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.308806+00:00
talia.org.zw,,ngo,hello-elementor,95.111.224.249,Apache,admin@talia.org.zw,admin@talia.org.zw,+263785877707,https://www.facebook.com/TaliaWomensNetwork; https://x.com/home; https://www.instagram.com/taliawomensnetwork/; https://www.linkedin.com/company/101433063/admin/dashboard/,,"/,/contact-us/,/contact",2026-05-04T21:08:46.308858+00:00
thabanizororai.co.zw,,ecommerce,,149.102.154.62,nginx,contact@example.com,contact@example.com,,,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.308880+00:00
silverbrook.co.zw,,business,,87.117.234.111,Apache,joshua.si%6C%63oc%6B@cardin%61lcor%70.co.zw,joshua.si%6C%63oc%6B@cardin%61lcor%70.co.zw; joshua.silcock@cardinalcorp.co.zw; m%61rshal%6C.%74sekwen%64%65%40%63%61rdi%6Ealcorp%2Eco.%7A%77; mor%65%62les%73%69%6Eg.tader%65%72a@ca%72dinalcorp.c%6F.z%77; Joshua.silcock@cardinalcorp.co.zw,+263 772 876 753; +263 773 761 292; +263 772 200 135,,,"/,/about/,/contact",2026-05-04T21:08:46.309029+00:00
sewtex.co.zw,,ecommerce,,87.117.234.111,Apache,sew%74ex@%6D%77eb.co.zw,sew%74ex@%6D%77eb.co.zw; sewtex@mweb.co.zw,+263 776 252 062,https://www.facebook.com/sewtexzimbabwe; https://www.facebook.com/sewtexzimbabwe/?ref=bookmarks,,"/,/contact",2026-05-04T21:08:46.309094+00:00
theprestige.co.zw,,ecommerce,,148.251.13.105,Apache,s%75ppor%74%40kir%62%79b%72ow%6Ee.co%6D,s%75ppor%74%40kir%62%79b%72ow%6Ee.co%6D; shi%70p%69ng%40kirby%62r%6Fwn%65%2E%63om; support@kirbybrowne.com; shipping@kirbybrowne.com,+263 772 413 346,https://twitter.com/ThePrestigeZW; https://instagram.com/ThePrestigeZW; https://facebook.com/ThePrestigeZW; https://twitter.com/kirbybrownezw,,"/,/about/,/help/contact-us/,/about-us/,/contact-us/",2026-05-04T21:08:46.309132+00:00
timebank.co.zw,,business,,172.93.106.10,LiteSpeed,,,,,,/,2026-05-04T21:08:46.309148+00:00
silverbrookestate.co.zw,,business,,87.117.234.111,Apache,joshua.si%6C%63oc%6B@cardin%61lcor%70.co.zw,joshua.si%6C%63oc%6B@cardin%61lcor%70.co.zw; joshua.silcock@cardinalcorp.co.zw; ma%72s%68all.t%73%65k%77e%6Ede@ca%72d%69na%6Cco%72p.c%6F.zw; Joshua.silcock@cardinalcorp.co.zw; marshall.tsekwende@cardinalcorp.co.zw,+263 772 876 753; +263 772 200 135,,,"/,/about/,/contact",2026-05-04T21:08:46.309208+00:00
smartuniforms.co.zw,,ecommerce,,188.114.97.5,,,,+263-772-485829,https://www.facebook.com/smartuniformszw/; https://www.instagram.com/smartuniformszw/,,"/,/contact",2026-05-04T21:08:46.309263+00:00
saywhat.org.zw,,ngo,,129.232.213.109,Apache,saywhat@mweb.co.zw,saywhat@mweb.co.zw,,https://www.facebook.com/SAYWHATOrg; https://www.linkedin.com/company/5272695/admin/,,"/,/about/,/about-us/",2026-05-04T21:08:46.309324+00:00
theunipeople.co.zw,,education,dt-the7,188.114.96.5,cloudflare,,,+263 772 322 680; +263 787 481 848,https://www.facebook.com/theunipeople; https://www.instagram.com/theunipeople/,,"/,/about/,/about-company/",2026-05-04T21:08:46.309374+00:00
rcu.ac.zw,,education,,162.241.123.59,nginx/1.25.5,info@rcu.ac.zw,info@rcu.ac.zw; ict@rcu.ac.zw; mashavav@rcu.ac.zw; sibandam@rcu.ac.zw; mashambaj@rcu.ac.zw,02524191060018; +2638688002249; 0782782707,https://facebook.com/info.rcu.ac.zw; https://twitter.com/rcu_maincampus; https://www.instagram.com/rcu.zw/; https://www.facebook.com/info.rcu.ac.zw/,,"/,/index.php/contact-us/,/about/,/contact-us/",2026-05-04T21:08:46.309432+00:00
thatonproperty.co.zw,,business,,104.21.88.135,cloudflare,,,+263 779 925 122,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.309447+00:00
talarius.co.zw,,business,,188.114.97.5,cloudflare,admin@talarius.co.zw,a%64%6Din@ta%6C%61%72ius.c%6F.zw; admin@talarius.co.zw,+263 776 165 599; +263 776 16 55 99; +263 4 746 802,https://www.facebook.com/pages/Talarius-Data-Analytics/109879402686191; https://twitter.com/TalariusData; https://www.linkedin.com/company/talarius-data-analytics,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.309492+00:00
sprachschuleinstitute.ac.zw,,education,,172.96.161.16,Apache,info@SprachschuleInstitute.ac.zw,info@SprachschuleInstitute.ac.zw; info@sprachschuleinstitute.ac.zw,+263 719 220 565,https://www.facebook.com/SprachschuleInstitute/; https://www.instagram.com/sprachschule_institute/,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.309555+00:00
taumrewa.co.zw,,blog,,192.138.189.196,LiteSpeed,info@taumrewa.co.zw,info@taumrewa.co.zw; info@example.com,0772523134; 01 800 688 8688,https://www.linkedin.com/in/taurai-mrewa/; https://www.facebook.com/tauraimrewa,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.309609+00:00
smartmeters.co.zw,,business,,188.114.97.5,cloudflare,,,+263 242 753399; +263 773 205 336; +263-242-753399,,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.309640+00:00
septictankremovals.co.zw,,business,,172.67.156.198,cloudflare,,,0772593344,,,"/,/contact-us/,/contact",2026-05-04T21:08:46.309704+00:00
tottengram.co.zw,,business,,188.114.96.5,cloudflare,,,+263 716 333 332; +263 775 289 763,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.309723+00:00
sirdc.ac.zw,,education,,41.85.192.3,Apache,admin@sirdc.ac.zw,pr@sirdc.ac.zw; admin@sirdc.ac.zw,0867 009 663; 0867 700 906; 0867 700 9670 1574,https://www.facebook.com/sirdczimbabwetechnologycentre; https://twitter.com/sirdczim?lang=en; https://zw.linkedin.com/company/sirdc,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.309789+00:00
tps.co.zw,,business,,160.153.253.177,,info@tps.co.zw,info@tps.co.zw,+263 242 447 400; +263 242 447 432,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.309827+00:00
tmlawyers.co.zw,,business,,65.181.116.152,LiteSpeed,info@tmlawyers.co.zw,info@tmlawyers.co.zw,+263 24 2252174; +263 54 231609; +263773032111,,,/,2026-05-04T21:08:46.309885+00:00
tremmly.co.zw,,business,,172.93.106.10,LiteSpeed,,,,,,/,2026-05-04T21:08:46.309957+00:00
timecontrol.softrite.co.zw,,business,,87.117.234.111,Apache,marketing@softrite.co.zw,marketing@softrite.co.zw,,,,/,2026-05-04T21:08:46.309976+00:00
theinternet.co.zw,,blog,,162.211.86.33,Apache,,,,https://twitter.com/TheInternet_zw; https://www.facebook.com/pages/ZW-The-Internet/443185485848354,,/,2026-05-04T21:08:46.309994+00:00
tuliptek.co.zw,,business,,129.232.213.115,Apache,sales@tuliptek.co.zw,sales@tuliptek.co.zw,+2638677187007-8; +263787169040; +2638677187007-8 24,https://www.facebook.com/tuliptekco; https://www.instagram.com/tuliptekco/; https://www.linkedin.com/company/tuliptek-consultancy/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.310064+00:00
thermacool.co.zw,,business,profecient-theme,129.232.213.100,Apache,,,024 2 492530; 024 2 446515; +263 773 288 708,https://www.facebook.com/share/1Z5mYurujX/?mibextid=wwXIfr; https://www.linkedin.com/company/thermacoolzw/; https://www.instagram.com/thermacoolpvt?igsh=MWNrMW12MjJocDBpcQ%3D%3D&utm_source=qr,,"/,/contact-us/,/contact",2026-05-04T21:08:46.310154+00:00
shapeitadhesives.co.zw,,ecommerce,,129.232.213.107,Apache,enquiries@shapeitadhesives.com,enquiries@shapeitadhesives.com,+263 78 886 4368; +263 78 877 9334; +263 77 949 0995,https://www.facebook.com/; https://www.instagram.com/; https://twitter.com/,,"/,/about/,/product/shape-super-contact-adhesive-5l/,/about-us/,/contact-us/",2026-05-04T21:08:46.310192+00:00
timelessauctions.co.zw,,ecommerce,,41.222.32.23,,info@timelessauctions.co.zw,info@timelessauctions.co.zw,+263 77 672 8779,https://www.facebook.com/Timeless-Auctions-106443385277366/; https://www.facebook.com/groups/226953109025012,,"/,/contact-speak-to-online-auction-auctioneers-buy-sell-zimbabwe-harare-bulawayo-mutare-masvingo-gweru/,/about/,/about-timeless-auctions-zimbabwean-online-bidding-and-auctioneering-e-commerce/",2026-05-04T21:08:46.310325+00:00
techshop.co.zw,,ecommerce,,192.138.189.196,LiteSpeed,,,,,,,2026-05-04T21:08:46.310352+00:00
tv.destinationzimbabwe.co.zw,,news,,107.6.136.18,,,,,https://www.facebook.com/destinationzimbabweholidays; https://twitter.com/destinationzw; https://www.instagram.com/destinationzimbabweholidays/,,/,2026-05-04T21:08:46.310367+00:00
springvalehouse.co.zw,,education,,129.232.213.109,Apache,,,+263 65-2322200; +263 65-2323598; +263 65-2323599,https://www.facebook.com/peterhousegroupzimbabwe/; https://www.instagram.com/peterhouse_group_of_schools/; https://www.linkedin.com/company/peterhouse-group-of-schools-zimbabwe?originalSubdomain=zw; https://twitter.com/peterhousegroup,,/,2026-05-04T21:08:46.310384+00:00
touchstone.co.zw,,business,,104.21.35.251,cloudflare,,,086 4404 1263 086 4485 8246; +263 719 381 114,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.310408+00:00
thinknetic.co.zw,,business,blocksy,57.128.188.247,LiteSpeed,info@thinknetic.co.zw,info@thinknetic.co.zw,+263 78 639 445; +263 77 469 6271,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.310440+00:00
tracparts.co.zw,,business,,156.38.193.84,Apache,admin@tracparts.co.zw,info@tracparts.co.zw; admin@tracparts.co.zw,0772313606; 0733434479; 0774992979,,,"/,/about/,/contact",2026-05-04T21:08:46.310464+00:00
supremesigns.co.zw,,business,,95.111.224.249,Apache,sales@supremesigns.co.zw,sales@supremesigns.co.zw,0242 446563; 0773220429; 0776443671,https://www.facebook.com/sharer/sharer.php?u=https://supremesigns.co.zw/; https://www.facebook.com/sharer/sharer.php?u=https://supremesigns.co.zw/about-us-3/; https://www.facebook.com/sharer/sharer.php?u=https://supremesigns.co.zw/contact-us/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.310538+00:00
venetianschampions.co.zw,,business,,95.111.224.249,Apache,,,,,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.310559+00:00
thirdman.co.zw,,business,,149.255.62.136,nginx,info@thirdman.co.zw,info@thirdman.co.zw,+263 77 294 2966; +263 86 442 88856; +263 71 237 5014,https://www.linkedin.com/company/thirdman-freight-solutions/; https://www.facebook.com/profile.php?id=61576659646315,,"/,/about/,/thirdman/contact",2026-05-04T21:08:46.310612+00:00
traverzetravel.co.zw,,business,,172.67.130.96,cloudflare,,,+263 867 700 8684; +263 78 731 1321; +263 71 923 9230,https://www.facebook.com/TraverzeTravel; https://www.instagram.com/traverzetravel/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.310670+00:00
trustcon.co.zw,,business,,149.255.62.168,nginx,Info@trustcon.co.zw,http://Info@trustcon.co.zw; Info@trustcon.co.zw,+263772166636; +263774119650; +263 772 166 636,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.310695+00:00
thetelescope.co.zw,,business,,172.96.161.16,Apache,stay@thetelescope.co.zw,stay@thetelescope.co.zw; info@example.com,+263714234000,https://www.facebook.com/thetelescopelodge; https://www.instagram.com/thetelescopelodge/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.310723+00:00
umguzardc.org.zw,,government,moniz,217.76.49.85,Apache,,,,,,,2026-05-04T21:08:46.310732+00:00
thisabilityhub.org.zw,,ngo,listinghive,106.0.62.94,Apache,info@thisabilityhub.org.zw,info@thisabilityhub.org.zw,+263717608752; +263784522110; +263772398325,https://www.facebook.com/ThisAbility-Hub-125656055968664; https://twitter.com/thisabilityhub; https://www.instagram.com/thisabilityhub/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.310796+00:00
udcorp.co.zw,,business,,129.232.205.227,Apache,marketing@udcorp.co.zw,marketing@udcorp.co.zw,0242 705 090,https://www.facebook.com/zimudcorp; https://www.linkedin.com/company/urban-development-corporation-zimbabwe/; https://twitter.com/UdcorpZim,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.310897+00:00
walwenfreight.co.zw,,business,,192.250.239.56,LiteSpeed,o.nazombe@walwenfreight.co.zw,o.nazombe@walwenfreight.co.zw,,https://www.linkedin.com/in/otis-nazombe-442a4658/?originalSubdomain=zw,,"/,/contact-us/",2026-05-04T21:08:46.310920+00:00
tax.co.zw,,business,,72.52.131.82,Apache,,,0242-251092 0772 957786; 0242 251092; 0772 957786,https://www.facebook.com/taxserviceszimbabwe/,,/,2026-05-04T21:08:46.311004+00:00
vtu.co.zw,,business,,67.222.24.24,LiteSpeed,info@vtu.co.zw,info@vtu.co.zw,+263 78 893 0936,https://www.facebook.com/profile.php?id=100063499156164; https://www.instagram.com/vtuplatinumlodge/?igsh=MWp2MXR3eHJ5amp5ZA%3D%3D,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.311109+00:00
wag.org.zw,,ngo,creote-child,104.247.74.226,nginx/1.29.8,,,,,,,2026-05-04T21:08:46.311120+00:00
travelsavvy.co.zw,,ecommerce,,107.6.176.102,,,,,,,,2026-05-04T21:08:46.311179+00:00
trogon.co.zw,,business,,192.138.189.196,,sales@trogon.co.zw,sales@trogon.co.zw,00 2025-06-10 09; 03 2025-06-04 13; +263 77 730 7437,https://www.facebook.com/p/Trogon-Energy-100076008562149; https://twitter.com/EnergyTrogon; https://www.instagram.com/trogonenergy/; https://www.linkedin.com/company/trogonenergy,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.311191+00:00
rosacare.org.zw,,ngo,,172.96.161.16,Apache,help@rosacare.org.zw,help@rosacare.org.zw; careforovc@gmail.com,+263 8644 066939 0776 135 601,https://www.facebook.com/OVCINCHIKOMBA,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.311308+00:00
trinity.org.zw,,ngo,,96.125.163.127,Apache,info@trinity.org.zw,info@trinity.org.zw,+263292 881508; 0786893718,https://www.instagram.com/Trinity_project4/; https://www.facebook.com/people/Trinity-Project-Zimbabwe/100069403225994/; https://twitter.com/TrinityProject4,,"/,/about/,/aboutus/,/about-us/,/contact-us/",2026-05-04T21:08:46.311411+00:00
votewatch263.org.zw,,ngo,bridge-child,65.60.39.46,,,,,https://www.facebook.com/; https://www.twitter.com/; https://www.facebook.com/votewatch263; https://www.twitter.com/VoteWatch263,,"/,/about/,/about-us/",2026-05-04T21:08:46.311422+00:00
vgptechnologies.co.zw,,business,car-repair-services,188.114.97.5,cloudflare,,,+263 242 752778; +263 773 427 041; +263 242 752 778,https://www.facebook.com/VGP-Technologies-1516677358569936/,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.311494+00:00
thegrangeschool.ac.zw,,education,,99.198.109.66,Apache,,,,,,,2026-05-04T21:08:46.311529+00:00
wgbkinsey.co.zw,,other,,160.153.253.177,,info@wgbkinsey.co.zw,info@wgbkinsey.co.zw,+263 4 305503; +263 4 305516; +263 772 572 896,,,"/,/about/,/contact",2026-05-04T21:08:46.311570+00:00
tidamotors.co.zw,,business,,172.96.161.16,Apache,marketing@tidamotors.co.zw,marketing@tidamotors.co.zw,+263 716 244 753,https://www.facebook.com/tidamotors/reviews; https://www.facebook.com/tidamotors; https://www.instagram.com/tidazimmotors/; https://www.linkedin.com/company/96013493; https://www.instagram.com/tidazimmotors; https://www.linkedin.com/company/96013493/; https://www.linkedin.com/in/taylorchiyangwa/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.311611+00:00
unclebearsparties.co.zw,,ecommerce,,87.117.234.111,Apache,unclebears@live.com,unclebears@live.com,0772209980 0772319730; +263 772 209 980; +263 772 319 730,http://www.facebook.com/unclebearsparties; http://www.instagram.com/unclebearsparties; https://www.facebook.com/unclebearsparties; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.unclebearsparties.co.zw%2F; https://www.instagram.com/unclebearsparties; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.unclebearsparties.co.zw%2Fcontact-us,,"/,/contact-us/,/contact",2026-05-04T21:08:46.311686+00:00
vicfallsprimary.co.zw,,education,enfold1,185.140.164.57,LiteSpeed,secretary@vicfallsprimary.co.zw,secretary@vicfallsprimary.co.zw,+263 8328 42022,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.311766+00:00
vivianmatsa.co.zw,,business,,185.150.190.64,,info@vivianmatsa.co.zw,info@vivianmatsa.co.zw,+263 8677 211 280,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.311805+00:00
tpg.co.zw,,business,,172.67.217.211,cloudflare,,,+263 8677 006 081,,,"/,/contact-us/,/contact",2026-05-04T21:08:46.311876+00:00
wanderlustsafaris.co.zw,,business,,194.110.243.35,,info@wanderlustsafaris.co.zw,info@wanderlustsafaris.co.zw,+263 777 820 694; +263 719 981 474,https://www.facebook.com/artbees,,"/,/about/,/contact",2026-05-04T21:08:46.311952+00:00
upnat.co.zw,,business,,192.138.189.196,LiteSpeed,sales@upnat.co.zw,sales@upnat.co.zw,+263 776 000 784; +263 773 843 581; +263 787 421 908,http://facebook.com/upnatpower,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.312056+00:00
ulendo.co.zw,,other,,188.114.96.5,cloudflare,,,+263 8677 103 067; +263 783 837 275,https://www.facebook.com/UlendoHCC; https://www.instagram.com/ulendohcc/; https://www.linkedin.com/company/ulendo-human-capital-consultancy/,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.312145+00:00
zie.co.zw,,education,zimie,95.179.206.203,Apache,,,,,,/about-us/,2026-05-04T21:08:46.312256+00:00
vitalityfoods.co.zw,,business,,184.154.167.98,Apache,info@vitalityfoods.co.zw,info@vitalityfoods.co.zw,+263772572155,https://www.facebook.com/vitalityfoodszim/,,"/,/index.php/contact/",2026-05-04T21:08:46.312271+00:00
walpe.org.zw,,ngo,twentytwentyfive,156.38.193.83,Apache,info@walpe.org.zw,info@walpe.org.zw,,https://x.com/WalpeAcademy/; https://www.facebook.com/walpe.org.zw/; https://www.instagram.com/walpeacademy; https://www.linkedin.com/in/women-s-academy-for-leadership-and-political-excellence-walpe-567133246/; https://instagram.com/walpeacademy; https://twitter.com/walpeacademy,,"/,/about/,/contact",2026-05-04T21:08:46.312349+00:00
winlux.co.zw,,business,,209.42.24.160,LiteSpeed,"winlux@rocketmail.com, winluxincorp@gmail.com, sales@winlux.co.zw","winlux@rocketmail.com, winluxincorp@gmail.com, sales@winlux.co.zw; winlux@rocketmail.com; winluxincorp@gmail.com; sales@winlux.co.zw",+263773964775; 0714 755559; 0772685865,https://www.facebook.com/winluxIncorporated,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.312434+00:00
valorngroup.co.zw,,business,,144.91.88.223,Apache,support@site.com,support@site.com; support@yoursite.com,082-123-234-345,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.312493+00:00
uzt.org.zw,,ngo,hello-elementor,129.232.213.109,Apache,info@uzt.org.zw,info@uzt.org.zw,+263 242 705 191,https://www.facebook.com/UnionZimbabweTrust/; https://twitter.com/UnionZimTrust,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.312608+00:00
tropic.co.zw,,business,,172.96.161.16,Apache,info@tropic.co.zw,info@tropic.co.zw; INFO@TROPIC.CO.ZW,+263715593359; +263719202995; +263712202996,,,"/,/about/,/contact",2026-05-04T21:08:46.312644+00:00
tjassociates.co.zw,,business,,172.67.191.35,cloudflare,,,,https://www.linkedin.com/company/www.tjassociates.co.zw/?originalSubdomain=zw,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.312669+00:00
tsikdem.co.zw,,news,,172.96.161.16,Apache,,,0773530473,https://www.facebook.com/tsikdemcomms?mibextid=ZbWKwL; https://twitter.com/tsikdemc?t=sat3-85WMzEnmPzsTyq5Aw&s=09; https://www.instagram.com/tv/Cs8LVs5oNJ6/?igshid=NTc4MTIwNjQ2YQ==,,/,2026-05-04T21:08:46.312708+00:00
tip-off.co.zw,,business,,107.6.136.18,,,,,,,,2026-05-04T21:08:46.312732+00:00
vaz.org.zw,,ngo,capigo-child,188.114.96.5,,,,+263 78 425 7533,https://www.facebook.com/profile.php?id=61550966503002; https://zw.linkedin.com/in/vision-ability-zimbabwe-05a84b292,,"/,/about/,/about-us/,/contact-us/",2026-05-04T21:08:46.312755+00:00
ultrabank.co.zw,,business,,149.102.154.62,nginx,,,,,,,2026-05-04T21:08:46.312770+00:00
web3.co.zw,,business,,67.222.24.24,LiteSpeed,info@web3.co.zw,info@web3.co.zw; gary@web3.co.zw,+263719229931; +263 71 922 9931; +263739119931,"https://www.facebook.com/share.php?u=https://web3.co.zw/shared-hosting-vs-vps-vs-cloud-which-one-does-your-business-actually-need/; https://twitter.com/intent/tweet?text=Shared%20Hosting%20vs%20VPS%20vs%20Cloud%20—%20Which%20One%20Does%20Your%20Business%20Actually%20Need?&url=https://web3.co.zw/shared-hosting-vs-vps-vs-cloud-which-one-does-your-business-actually-need/; https://www.linkedin.com/shareArticle?mini=true&url=https://web3.co.zw/shared-hosting-vs-vps-vs-cloud-which-one-does-your-business-actually-need/&title=Shared%20Hosting%20vs%20VPS%20vs%20Cloud%20—%20Which%20One%20Does%20Your%20Business%20Actually%20Need?&source=Web3%20Solutions; https://www.facebook.com/share.php?u=https://web3.co.zw/why-your-zimbabwean-business-needs-professional-email-not-gmail/; https://twitter.com/intent/tweet?text=Why%20Your%20Zimbabwean%20Business%20Needs%20Professional%20Email,%20Not%20Gmail&url=https://web3.co.zw/why-your-zimbabwean-business-needs-professional-email-not-gmail/; https://www.linkedin.com/shareArticle?mini=true&url=https://web3.co.zw/why-your-zimbabwean-business-needs-professional-email-not-gmail/&title=Why%20Your%20Zimbabwean%20Business%20Needs%20Professional%20Email,%20Not%20Gmail&source=Web3%20Solutions",,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.312806+00:00
willdale.co.zw,,business,,185.150.190.64,nginx,marketing@willdale.co.zw,marketing@willdale.co.zw,+263 8677 007 150; +263 242 777 199; +263 242 777 198,https://www.facebook.com/willdalebricks/; https://www.instagram.com/willdalebricks/; https://www.linkedin.com/company/willdalelimited/,,"/,/about/,/contact",2026-05-04T21:08:46.312862+00:00
wakandasolar.co.zw,,blog,,192.250.234.71,LiteSpeed,,,,,,/,2026-05-04T21:08:46.312879+00:00
wilsoft.co.zw,,business,,104.21.41.29,,,,+263 773358 625,,,"/,/about/,/contact-us/,/contact-wilsoft/",2026-05-04T21:08:46.312892+00:00
vnz.org.zw,,ngo,VNZ-WP-Theme,67.209.113.183,LiteSpeed,,,,,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.312906+00:00
zimbabwehot100.co.zw,,blog,,192.138.189.196,LiteSpeed,,,,,,/,2026-05-04T21:08:46.312925+00:00
wembleytools.co.zw,,business,,87.117.234.111,Apache,kuda@wembleytools.com,kuda@wembleytools.com; sales@wembleytools.com,+263 772326470; +263 8677 010221; +263 24 446 238,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.312946+00:00
travelconnect.co.zw,,ecommerce,,198.175.150.250,LiteSpeed,Info@travelconnect.co.zw,Info@travelconnect.co.zw; info@travelconnect.co.zw,+263 71 578 7117,https://www.facebook.com/Travelconnectcar/,,"/,/cheap-car-rentals-harare-zimbabwe-contact-travel-connect/",2026-05-04T21:08:46.312964+00:00
zbms.co.zw,,ecommerce,,88.99.37.142,Apache/2.4.52 (Ubuntu),sales@zbms.co.zw,sales@zbms.co.zw,+263778767374; +263716782260; +263242773360,https://www.facebook.com/@zbms263; https://twitter.com/@zbms263; https://www.linkedin.com/company/zimbabwe-building-materials-suppliers,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.312982+00:00
zans.co.zw,,ngo,,72.52.228.2,Apache,zimbabweneurosurgeons@gmail.com,zimbabweneurosurgeons@gmail.com,+263 776 626 065,https://zw.linkedin.com/in/kazadi-kalangu-576a7923; https://zw.linkedin.com/in/aaron-musara-1b092327; https://zw.linkedin.com/in/nozipo-maraire-329b4420a; https://zw.linkedin.com/in/gilbert-mawera-5b72a164,,"/,/about/,/about-us/,/contact-us/,/dbcea-doctor-contact/",2026-05-04T21:08:46.313032+00:00
trafficsafety.co.zw,,government,,41.85.192.3,Apache,infocomms@trafficsafety.co.zw,infocomms@trafficsafety.co.zw,+263 758021,,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.313054+00:00
theperiodcompany.co.zw,,business,riode-child,172.67.145.215,cloudflare,,,0242 776873; +263 78 353 9787; +263 78 310 8179,https://www.facebook.com/periodcompany/; https://www.instagram.com/theperiodcompanyzw; https://twitter.com/periodzw?lang=en; https://www.linkedin.com/company/the-period-company/?originalSubdomain=zw,,"/,/about/,/contact",2026-05-04T21:08:46.313074+00:00
zimcurrentaffairs.co.zw,,news,,106.0.62.94,Apache,info@myweb.com,info@myweb.com,,https://x.com/; https://www.facebook.com/; https://www.linkedin.com/,,"/,/contact",2026-05-04T21:08:46.313087+00:00
